name;quantity;cal;fat;cholesterol;sodium;protein;carb;fiber;sugars;vitamin
Milk and cereal bar;100;413;11;6;319;6.47;72.05;0.4;45.97;vitamin a
HORMEL;100;106;3.6;51;1038;18.43;0.21;0;0;vitamin c
Prune juice;100;71;0;0;4;0.61;17.45;1;16.45;vitamin c
Soy flour;100;327;1.2;0;20;51.46;33.92;17.5;16.42;vitamin a
Potatoes;100;58;0.1;0;10;2.57;12.44;2.5;0;vitamin c
Pepper;100;27;0.5;0;13;1.66;5.35;3.4;1.95;vitamin a
Drumstick pods;100;37;0.2;0;42;2.1;8.53;3.2;0;vitamin c
Acorn stew (Apache);100;95;3.5;20;130;6.81;9.22;0.7;0.34;vitamin b12
Guava sauce;100;36;0.1;0;4;0.32;9.48;3.6;5.88;vitamin a
Pumpkin leaves;100;19;0.4;0;11;3.15;2.33;0;0;vitamin a
Melon balls;100;33;0.3;0;31;0.84;7.94;0.7;0;vitamin a
Fish oil;100;902;100;570;0;0;0;0;0;vitamin a
SILK Plain;100;41;1.7;0;49;2.88;3.29;0.4;2.47;vitamin a
Corn grain;100;365;4.7;0;35;9.42;74.26;7.3;0.64;vitamin a
Turtle;100;89;0.5;50;68;19.8;0;0;0;vitamin a
Chicory roots;100;72;0.2;0;50;1.4;17.51;1.5;8.73;vitamin a
Ice cream sandwich;100;237;8.6;21;129;4.29;37.14;0;18.57;vitamin a
Croutons;100;465;18;7;1089;10.8;63.5;5;4.41;vitamin a
Prickly pears;100;41;0.5;0;5;0.73;9.57;3.6;0;vitamin a
Liver cheese;100;304;26;174;1225;15.2;2.1;0;0;vitamin a
Jams and preserves;100;278;0.1;0;32;0.37;68.86;1.1;48.5;vitamin c
Carrots;100;35;0.1;0;78;0.64;8.24;2.9;4.76;vitamin a
Catsup;100;101;0.1;0;20;1.04;27.4;0.3;21.27;vitamin a
Croissants;100;414;21;57;361;9.2;47;2.6;11.35;vitamin a
Milk;100;108;7;27;44;5.98;5.36;0;0;vitamin a
Acerola juice;100;23;0.3;0;3;0.4;4.8;0.3;4.5;vitamin c
Jute;100;34;0.3;0;8;4.65;5.8;0;0;vitamin a
Fast food;100;370;19;2;979;7.08;42.82;2.5;3.88;vitamin a
Bagels;100;241;1.2;6;359;9.9;47.47;6.2;8.66;vitamin a
Onions;100;32;0.1;0;8;0.8;7.55;0.9;5.02;vitamin c
SILK Chai;100;53;1.4;0;41;2.47;7.82;0;5.76;vitamin a
Carrot;100;341;1.5;0;275;8.1;79.57;23.6;38.82;vitamin a
Vinegar;100;18;0;0;2;0;0.04;0;0.04;vitamin a
Sapote;100;124;0.5;0;7;1.45;32.1;5.4;20.14;vitamin a
Taco shells;100;476;22;0;324;6.41;63.49;6.7;1.5;vitamin a
Bamboo shoots;100;27;0.3;0;4;2.6;5.2;2.2;3;vitamin a
Whey;100;353;1.1;6;1079;12.93;74.46;0;74.46;vitamin a
Fat;100;902;100;102;0;0;0;0;0;vitamin d
