name;quantity;cal;fat;cholesterol;sodium;protein;carb;fiber;sugars;vitamin
Tortilla chips;100;497;22;0;310;6.62;67.38;4.7;1.21;vitamin a
Waterchestnuts;100;97;0.1;0;14;1.4;23.94;3;4.8;vitamin c
Vegetables;100;72;0.5;0;47;3.33;13.47;4;0;vitamin a
Ascidians (tunughnak) (Alaska Native);100;20;0.5;7;656;3.8;0;0;0;vitamin a
Spanish rice mix;100;363;1.6;0;1085;10.62;76.45;3.1;3.83;vitamin a
Waffles;100;285;9.7;14;638;6.47;42.98;2.2;4.91;vitamin a
Chocolate;100;546;31;8;24;4.88;61.17;7;47.9;vitamin a
Beef Pot Pie;100;220;11;21;365;7.25;22.05;0.8;0;vitamin k
"PIZZA HUT 12"" Cheese Pizza";100;280;13;21;624;11.73;29.93;1.7;3.21;vitamin a
Balsam-pear (bitter gourd);100;17;0.2;0;5;1;3.7;2.8;0;vitamin a
New england brand sausage;100;161;7.6;49;1220;17.27;4.83;0;0;vitamin b12
Custard-apple;100;101;0.6;0;4;1.7;25.2;2.4;0;vitamin a
"PIZZA HUT 14"" Cheese Pizza";100;276;11;18;580;10.85;32.85;2.1;2.47;vitamin k
SILK Vanilla soy yogurt (family size);100;79;1.8;0;13;2.64;13.66;0.4;10.57;vitamin d
Tomato juice;100;17;0.3;0;253;0.85;3.53;0.4;2.58;vitamin a
Tamales;100;168;4.7;27;298;13.19;18.28;3.3;1.57;vitamin a
Vitasoy USA Nasoya;100;43;1.1;0;79;8.21;0;0;0;vitamin a
ARBY'S;100;242;10;30;653;15.17;22.21;1.3;3.84;vitamin b12
Maraschino cherries;100;165;0.2;0;4;0.22;41.97;3.2;38.77;vitamin a
Pork sausage;100;271;22;59;294;9.41;8.13;0;0;vitamin d
Pork and beef sausage;100;396;36;71;929;13.8;2.7;0;0;vitamin d
Artificial Blueberry Muffin Mix;100;407;8.7;0;0;4.7;77.45;0;0;vitamin a
CAMPBELL'S Homestyle Minestrone Soup;100;41;0.4;0;322;1.63;7.35;1.6;2.45;vitamin a
Guava nectar;100;48;0.1;0;6;0.3;13.3;1.2;10.15;vitamin a
Papaya;100;206;0.6;0;9;0.14;55.83;1.5;52.2;vitamin a
French toast;100;213;6.1;82;495;7.4;32.1;1.1;0;vitamin a
Swamp cabbage;100;19;0.2;0;113;2.6;3.14;2.1;0;vitamin a
Pork and turkey sausage;100;342;31;72;876;12.05;3.63;0;0;vitamin a
FAMOUS AMOS;100;503;24;8;359;4.5;67.7;2.8;32.4;vitamin a
Mustard spinach;100;22;0.3;0;21;2.2;3.9;2.8;0;vitamin a
Tangerines;100;53;0.3;0;2;0.81;13.34;1.8;10.58;vitamin a
Ice cream cones;100;417;6.9;0;256;8.1;79;3;6;vitamin k
Peas and onions;100;70;0.3;0;61;3.98;13.51;3.5;0;vitamin a
Tomato sauce;100;24;0.3;0;11;1.2;5.31;1.5;3.56;vitamin a
Hyacinth-beans;100;46;0.2;0;2;2.1;9.19;3.3;4.08;vitamin a
Veggie burgers or soyburgers;100;177;6.3;5;569;15.7;14.27;4.9;1.07;vitamin a
GLUTINO;100;515;24;0;111;0;74.39;0;42.31;vitamin e
KASHI Pizza;100;230;8.4;17;560;12.8;25.7;3.8;3.3;vitamin a
Shortening;100;884;100;0;0;0;0;0;0;vitamin e
KASHI Three Cheese Penne;100;126;4;12;248;5.7;16.8;2.7;1.9;vitamin a
Vegetable smoothie;100;28;0.1;0;13;0.8;7;0.7;6.05;vitamin a
KASHI Mayan Harvest Bake;100;121;3.2;0;133;3;21;3;7;vitamin a
Cinnamon buns;100;452;27;5;305;4.45;48.6;1.2;25.7;vitamin k
Wonton wrappers (includes egg roll wrappers);100;291;1.5;9;572;9.8;57.9;1.8;0;vitamin a
Rice mix;100;362;3.5;9;1193;8.77;73.88;1.8;5.26;vitamin a
KRAFT;100;381;4.1;4;1532;12.6;73.1;2.5;10.1;vitamin a
WORTHINGTON Dinner Roast;100;213;14;1;671;16;6.9;3.1;1;vitamin b12
Fruit cocktail;100;70;0.1;0;6;0.47;18.8;1.7;17.14;vitamin a
CAMPBELL'S Homestyle Butternut Squash Bisque;100;45;1.2;4;265;0.41;7.76;0.4;4.9;vitamin a
Gums;100;332;0.5;0;125;4.6;77.3;77.3;0;vitamin a
UDI'S;100;329;12;0;507;11.8;44.29;11.2;4.2;vitamin e
Pastry;100;379;19;10;231;5.48;47.76;2.2;17;vitamin k
Vegetable oil-butter spread;100;465;53;54;581;0;0;0;0;vitamin a
WORTHINGTON Super Links;100;219;16;1;708;14.5;5.5;1.8;0.6;vitamin b12
WORTHINGTON Wham (roll);100;196;11;0;717;17.8;5.7;0;3.2;vitamin b12
Prunes;100;339;0.7;0;5;3.7;89.07;0;0;vitamin a
Roast beef;100;115;3.7;51;853;18.62;0.64;0;0.29;vitamin a
Beverage;100;329;2.6;14;780;23.5;52.9;1.6;51.3;vitamin a
KELLOGG;100;245;8;11;508;5.3;38.6;1;10;vitamin a
Olives;100;81;6.9;0;735;0.97;5.61;2.5;0;vitamin a
CAMPBELL'S CHUNKY;100;81;3.9;4;353;2.46;9.01;1.2;0;vitamin a
Naranjilla (lulo) pulp;100;25;0.2;0;4;0.44;5.9;1.1;3.74;vitamin a
LOMA LINDA Little Links;100;221;14;0;472;19.4;5.5;4.2;0.8;vitamin b6
Salmon;100;153;7.2;67;433;20.63;0;0;0;vitamin d
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream;100;91;1.3;9;72;4.7;15.1;0;7.2;vitamin a
Margarine-like spread;100;357;39;0;670;0;5.71;0;0;vitamin a
Yokan;100;260;0.1;0;83;3.29;60.72;0;0;vitamin a
"LITTLE CAESARS 14"" Cheese Pizza";100;309;17;39;455;16.23;22.85;1.6;2.76;vitamin a
Hazelnuts;100;628;53;0;2;14.89;22.98;9.8;0;vitamin b6
WORTHINGTON Diced Chik;100;80;0.7;1;344;14.7;3.7;1.4;0.1;vitamin b12
Broadbeans (fava beans);100;341;1.5;0;13;26.12;58.29;25;5.7;vitamin a
Deer (venison);100;116;2.7;18;0;21.5;0;0;0;vitamin a
Breakfast bar;100;377;7.5;0;297;4.4;72.9;2.1;35.1;vitamin a
CAMPBELL'S Low Sodium Soups;100;10;0.3;2;0;1.01;0.34;0;0.34;vitamin a
Chiton;100;83;1.6;0;0;17.1;0;0;0;vitamin a
CAMPBELL'S Homestyle Vegetable Medley Soup;100;37;0.2;0;322;1.22;7.35;1.2;3.27;vitamin a
Dumpling;100;195;6.1;4;474;5.26;29.64;0.9;1.75;vitamin a
LOMA LINDA Vege-Burger;100;114;1.2;0;222;22.2;3.7;2.6;0.8;vitamin b12
LOMA LINDA Redi-Burger;100;146;2.8;0;508;21.9;8.2;4.3;1.2;vitamin b12
LOMA LINDA Tender Bits;100;135;4.6;0;613;15.1;8.3;4.3;0.6;vitamin b12
WORTHINGTON Veja-Links;100;155;8.9;3;530;14.6;4.1;3.3;0.5;vitamin b12
WORTHINGTON Chic-Ketts;100;200;9.7;0;642;23.6;5.1;1.2;0.1;vitamin b12
Cheesecake prepared from mix;100;274;13;29;380;5.5;35.5;1.9;0;vitamin a
Chicken tenders;100;240;14;36;527;14.62;14.86;1.7;0.57;vitamin a
KASHI Black Bean Mango;100;115;3;1;134;3;18;6;3;vitamin a
Malt beverage;100;37;0.1;0;13;0.21;8.05;0;8.05;vitamin a
Piki bread;100;390;7.2;0;60;9.06;72.22;9.2;1.6;vitamin a
WORTHINGTON Saucettes;100;219;15;2;532;15;5.6;2.8;0.2;vitamin b12
WORTHINGTON Stripples;100;346;27;2;1463;12.4;14.3;5.1;0.8;vitamin b12
WORTHINGTON Stakelets;100;211;10;1;651;19.7;9.6;2.8;1.2;vitamin b12
GARDENBURGER Original;100;155;4.6;9;684;7.2;22.1;5;0.6;vitamin b6
Chicken breast tenders;100;263;16;41;536;14.73;15.01;1.1;0.37;vitamin k
Pigeon peas (red gram);100;343;1.5;0;17;21.7;62.78;15;0;vitamin a
Soy sauce made from soy and wheat (shoyu);100;53;0.6;0;5493;8.14;4.93;0.8;0.4;vitamin b6
Ruffed Grouse;100;112;0.9;40;50;25.94;0;0;0;vitamin b6
Chili con carne with beans;100;107;3.5;9;449;5.8;13.1;3.3;1.87;vitamin a
Jams;100;151;0.1;0;0;0;37.6;1.5;29.41;vitamin c
Rose Hips;100;162;0.3;0;4;1.6;38.22;24.1;2.58;vitamin a
KRAFT BREAKSTONE'S Reduced Fat Sour Cream;100;152;12;50;59;4.5;6.5;0.1;6.4;vitamin a
Waxgourd;100;13;0.2;0;111;0.4;3;2.9;0;vitamin c
HORMEL Pillow Pak Sliced Turkey Pepperoni;100;243;12;123;1858;30.99;3.78;0;0;vitamin a
LOMA LINDA Big Franks;100;218;12;0;426;21.5;5.8;3.5;0.4;vitamin b6
Lasagna with meat sauce;100;135;4.9;17;373;7.28;15.36;1.7;3.11;vitamin a
Leeks;100;61;0.3;0;20;1.5;14.15;1.8;3.9;vitamin a
Tortilla;100;276;1.4;0;663;7.83;58.12;3.4;2.97;vitamin a
WORTHINGTON Choplets;100;103;1;0;456;19.4;4.1;2.8;0.4;vitamin a
Applesauce;100;76;0.2;0;28;0.18;19.91;1.2;0;vitamin a
Dutch brand loaf;100;273;23;60;786;12;3.93;0.3;0.9;vitamin a
Canada Goose;100;133;4;80;50;24.31;0;0;0;vitamin b6
Chicken pot pie;100;204;12;15;393;5.11;19.21;1.1;2.26;vitamin a
Cookie;100;507;24;0;380;4.5;67.87;2.3;32;vitamin k
Passion-fruit;100;97;0.7;0;28;2.2;23.38;10.4;11.2;vitamin a
"PIZZA HUT 12"" Pepperoni Pizza";100;298;14;25;692;11.97;30.49;1.8;3.2;vitamin a
Ice cream bar;100;303;26;56;56;5.62;11.89;1.1;10.8;vitamin a
Fruit juice smoothie;100;71;0;0;4;0.42;16.67;2.9;12.08;vitamin c
CAMPBELL'S Red and White;100;12;0;0;0;2.42;0.81;0;0.81;vitamin a
Limeade;100;52;0;0;3;0;13.79;0;13.27;vitamin c
SAGE VALLEY;100;499;22;0;0;3.13;71.88;1;43.94;vitamin a
Rice cake;100;392;4.3;0;71;7.1;81.1;4.2;0.88;vitamin k
Taquitos;100;284;13;13;453;9.21;33.63;2.9;1.3;vitamin a
KASHI Spinach Artichoke Pasta;100;103;3.4;7;229;5;15.1;3;0.1;vitamin b6
WORTHINGTON Low Fat Fri Chik;100;102;2.7;1;416;14.3;4.9;1;0;vitamin b12
WORTHINGTON FriChik Original;100;160;10;1;401;13.4;3.4;1.5;0.1;vitamin b12
Margarine;100;719;81;0;943;0.9;0.9;0;0;vitamin a
Apricot nectar;100;56;0.1;0;3;0.37;14.39;0.6;13.24;vitamin a
CAMPBELL'S Homestyle Potato Broccoli Cheese Soup;100;65;3.7;2;265;1.22;6.94;1.2;1.22;vitamin a
Soy sauce made from hydrolyzed vegetable protein;100;60;0.5;0;6820;7;7.84;0.5;1.3;vitamin b6
Groundcherries;100;53;0.7;0;0;1.9;11.2;0;0;vitamin a
Pizza;100;274;12;21;690;11.76;30.76;2.3;3.88;vitamin a
Escarole;100;19;0.2;0;19;1.15;3.07;2.8;0.23;vitamin a
CAMPBELL'S CHUNKY Soups;100;56;0.9;4;308;2.89;8.98;1;1.17;vitamin a
MORNINGSTAR FARMS Veggie Dog;100;126;1.3;0;1076;17.4;11.2;2.3;4.4;vitamin a
WORTHINGTON Vegetable Steaks;100;113;1.2;0;417;20.7;5.1;2.2;0.5;vitamin b12
KRAFT VELVEETA Pasteurized Process Cheese Spread;100;303;22;80;1499;16.3;9.8;0;8.1;vitamin a
Macaroni and cheese loaf;100;228;15;44;3;11.76;11.63;0;0;vitamin c
Steelhead trout;100;382;8.1;227;2850;77.27;0;0;0;vitamin d
SWANSON BROTH;100;5;0;0;234;0;1.28;0;0.85;vitamin a
McDONALD'S Bacon Ranch Salad with Crispy Chicken;100;122;6.3;22;273;8.82;6.08;1;1.53;vitamin a
"DOMINO'S 14"" Pepperoni Pizza";100;328;19;38;783;13.88;25.35;2.6;3.65;vitamin c
Pear nectar;100;60;0;0;4;0.11;15.76;0.6;15.16;vitamin k
Pork sausage rice links;100;407;38;66;689;13.7;2.36;0;0;vitamin d
Rice and vermicelli mix;100;359;1.3;0;1337;10.84;76.02;1.6;4.27;vitamin a
School Lunch;100;246;14;36;467;17.64;12.5;2.3;0.55;vitamin d
HEINZ;100;241;6.9;47;300;4.4;40.3;2.1;16.8;vitamin a
CAMPBELL'S Homestyle Italian-Style Wedding Soup;100;49;1.4;6;322;2.86;6.12;0.8;1.22;vitamin a
Lemon juice from concentrate;100;17;0.1;0;24;0.45;5.62;0.7;1.53;vitamin a
Rennin;100;77;1.8;7;46;3.06;12.34;0;0;vitamin a
KASHI Pesto Pasta Primavera;100;101;3.8;2;265;3.8;13;2.4;1.4;vitamin a
Cocoa mix;100;400;15;0;850;3;75;4;60;vitamin a
Milk dessert bar;100;147;1.5;7;92;4.41;33.09;6.6;22.06;vitamin a
CAMPBELL'S Soup on the Go;100;52;3.6;2;289;0.66;4.26;1;1.31;vitamin a
Thuringer;100;362;30;74;1300;17.45;3.33;0;0.85;vitamin d
Elk;100;97;1.8;0;49;20.14;0;0;0;vitamin b12
Waffle;100;298;9.9;16;682;6.71;45.41;2.4;5.04;vitamin b6
"PAPA JOHN'S 14"" The Works Pizza";100;240;10;21;570;10.27;26.69;2.5;4.84;vitamin a
"PAPA JOHN'S 14"" Pepperoni Pizza";100;275;12;26;671;11.97;30.04;1.2;4.84;vitamin a
Milk dessert;100;167;1;0;97;4.3;37.7;0;37.7;vitamin a
Chicken breast;100;79;0.4;36;1087;16.79;2.17;0;0.1;vitamin b6
INTERSTATE BRANDS CORP;100;273;4.2;0;0;8.07;50.84;2.6;11.06;vitamin a
Peach nectar;100;54;0;0;7;0.27;13.92;0.6;12.35;vitamin a
GEORGE WESTON BAKERIES;100;232;1.8;0;345;8;46;0;0;vitamin a
Vegetable juice;100;31;0;0;15;0.49;8.13;1.2;5.37;vitamin a
Yogurt parfait;100;84;1;3;49;3.36;15.86;1.1;11.68;vitamin a
Oopah (tunicate);100;67;2.2;0;0;11.7;0;0;0;vitamin a
MORNINGSTAR FARMS Corn Dog;100;208;3.5;0;666;11.2;36;3.8;11;vitamin a
Prairie Turnips;100;156;0.4;0;5;2.62;35.67;8;0.82;vitamin c
Soy protein concentrate;100;328;0.5;0;900;63.63;25.41;5.5;20;vitamin b6
"DOMINO'S 14"" Sausage Pizza";100;319;19;35;725;12.77;25.3;2.6;3.42;vitamin c
WORTHINGTON Prosage Links;100;143;4.7;2;819;20.2;5;2.8;0.8;vitamin b12
CAMPBELL'S Homestyle New England Clam Chowder;100;70;4.2;4;363;2.33;5.68;0.8;0;vitamin a
PILLSBURY;100;441;12;0;0;4.8;78.3;0;49.6;vitamin a
Corned beef and potatoes in tortilla (Apache);100;224;8.3;11;511;7.91;29.35;1.5;1.79;vitamin k
Milk substitutes;100;61;3.4;0;78;1.75;6.16;0;0;vitamin a
Turnip greens and turnips;100;21;0.2;0;18;2.46;3.39;2.4;0;vitamin a
Shortening industrial;100;900;100;56;0;0;0;0;0;vitamin e
"DOMINO'S 14"" Cheese Pizza";100;298;15;27;628;12.33;28.18;2.5;4.09;vitamin k
Chokecherries;100;156;1;0;2;2.89;33.88;17;14.22;vitamin a
VAN'S;100;215;4.6;0;331;3.31;40.32;1.5;4.06;vitamin b6
SILK Vanilla soy yogurt (single serving size);100;88;1.8;0;12;2.94;14.71;0.6;10.59;vitamin c
Margarine Spread;100;424;48;1;646;0.2;0.86;0;0;vitamin k
WORTHINGTON Prime Stakes;100;135;7.2;1;480;10.2;7.5;1.4;0.3;vitamin b12
WORTHINGTON Prosage Roll;100;261;18;2;667;19.6;6;3.5;0.2;vitamin b12
Stinging Nettles;100;42;0.1;0;4;2.71;7.49;6.9;0.25;vitamin a
Campbell's Brown Sugar And Bacon Flavored Baked Beans;100;123;1.9;4;362;3.85;23.08;6.2;10;vitamin a
LOMA LINDA Swiss Stake with Gravy;100;138;6.2;1;471;10.2;10.4;3.2;0.9;vitamin b6
WORTHINGTON Meatless Chicken Roll;100;154;8;1;452;16.1;4.3;2.4;0.8;vitamin b12
USDA Commodity Food;100;884;100;0;0;0;0;0;0;vitamin k
Frijoles rojos volteados (Refried beans;100;144;6.9;0;375;5;15.47;4.7;0;vitamin e
GARDENBURGER Flame Grilled Burger;100;122;4.4;0;445;15.2;6.8;3.7;0.4;vitamin c
GARDENBURGER Veggie Medley Burger;100;121;3.6;0;559;4.1;24;7.1;2;vitamin b6
Cattail;100;25;0;0;109;1.18;5.14;4.5;0.22;vitamin k
Incaparina;100;379;5.6;0;4;21.75;60.53;9.9;0;vitamin a
MORNINGSTAR FARMS Chik'n Nuggets;100;221;10;0;702;14.4;21.8;4.9;2.2;vitamin a
Shortening household soybean (hydrogenated) and palm;100;884;100;0;0;0;0;0;0;vitamin a
Poultry;100;243;20;143;40;14.72;0;0;0;vitamin a
HORMEL ALWAYS TENDER;100;145;7.2;49;358;19.02;0.76;0;0.08;vitamin c
Swisswurst;100;307;27;61;827;12.69;1.6;0;0;vitamin a
USDA Commodity peaches;100;61;0.2;0;7;0.56;15.65;0.7;10.61;vitamin a
MORNINGSTAR FARMS Grillers Prime;100;238;13;1;501;24;5.9;2.6;0.3;vitamin a
"PIZZA HUT 12"" Super Supreme Pizza";100;243;11;20;689;10.9;25.62;2;3.71;vitamin a
MORNINGSTAR FARMS Grillers Vegan;100;132;3.4;0;395;16.3;9.1;5.2;0.4;vitamin a
Pate de foie gras;100;462;44;150;697;11.4;4.67;0;0;vitamin a
KASHI Spicy Black Bean Enchilada;100;103;2.8;1;237;3;17.7;3.1;1;vitamin c
"PIZZA HUT 14"" Super Supreme Pizza";100;248;11;28;658;11.34;26.01;2.3;3.04;vitamin a
Margarine-like;100;44;3;0;580;0.1;4.34;0;0;vitamin a
MORNINGSTAR FARMS Buffalo Wings;100;232;11;0;642;14.1;22.6;4.8;2.8;vitamin b12
Shortening frying (heavy duty);100;884;100;0;0;0;0;0;0;vitamin e
Pork loin;100;172;9.8;66;95;20.85;0;0;0;vitamin d
Cheese puffs and twists;100;432;12;1;847;8.5;72.35;3.6;7.29;vitamin a
KELLOGG'S EGGO Lowfat Blueberry Nutri-Grain Waffles;100;208;2.8;0;591;5.95;42.71;3.5;8.89;vitamin a
RUDI'S;100;320;11;0;0;3.13;52.83;3.5;8.36;vitamin a
CAMPBELL'S Homestyle Harvest Tomato with Basil Soup;100;45;0.4;2;322;0.82;9.39;0.8;6.53;vitamin a
Onion rings;100;258;14;0;246;3.15;30.53;1.8;0;vitamin c
Protein supplement;100;411;17;21;329;45.71;18.5;7.1;5.71;vitamin a
CAMPBELL'S Homestyle Light New England Clam Chowder;100;49;1.6;4;322;2.45;6.12;0.8;0.41;vitamin a
MORNINGSTAR FARMS Corn Dog Mini;100;219;4.7;0;678;13.2;32.6;2.6;8;vitamin a
WORTHINGTON Multigrain Cutlets;100;117;1.5;0;371;23.29;7.3;4.5;0.2;vitamin e
WORTHINGTON Low Fat Veja-Links;100;123;4.8;2;612;15.8;4.3;1.2;0.7;vitamin b12
WORTHINGTON Smoked Turkey Roll;100;251;16;0;859;18.5;7.9;1.1;2.4;vitamin b12
MORNINGSTAR FARMS Chik Patties;100;197;7;0;835;11.8;22.9;3;2;vitamin a
HOT POCKETS Ham 'N Cheese Stuffed Sandwich;100;241;9.1;23;504;9.16;30.55;1.5;7.6;vitamin d
USDA Commodity pears;100;62;0.2;0;5;0.28;16.21;1.6;11.22;vitamin c
Turnover;100;228;13;31;378;7.87;20.67;0.8;7.87;vitamin a
WORTHINGTON Vegetable Skallops;100;109;1.2;0;460;19.9;4.6;3.4;0.3;vitamin a
USDA Commodity Chicken;100;162;5.7;83;271;27.52;0;0;0;vitamin a
Mushroom;100;22;0.3;0;5;3.09;3.26;1;1.98;vitamin d
MORNINGSTAR FARMS BBQ Riblets;100;150;2.3;0;438;11.4;24.6;4.7;17.2;vitamin a
Infant formula;100;524;28;32;118;12;56;0;56;vitamin a
Cream puff;100;334;19;66;265;4.41;37.43;0.9;22.05;vitamin a
Muffin;100;255;4.2;28;413;4.23;50.05;4.2;27.05;vitamin a
Meat drippings (lard;100;889;99;101;545;0;0;0;0;vitamin d
LOMA LINDA Low Fat Big Franks;100;154;4.7;0;481;23.1;4.9;4.1;0.3;vitamin b12
WORTHINGTON Vegetarian Burger;100;124;2.9;0;451;18.6;6.2;2.7;0.6;vitamin b12
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce;100;276;21;75;1638;12;9.2;0.3;6.7;vitamin a
Shortening bread;100;884;100;0;0;0;0;0;0;vitamin e
Whipped cream substitute;100;100;6;0;106;0.9;10.6;0;10.6;vitamin e
SUPPER BAKES MEAL KITS;100;147;3.2;8;0;4.8;24.8;0.8;2.4;vitamin a
HUNGRY MAN;100;136;8.5;26;379;7.96;6.96;1.3;0.18;vitamin b12
Turkey ham;100;124;3.8;67;1038;19.6;2.93;0;0;vitamin d
MORNINGSTAR FARMS Sesame Chik'n Entree;100;116;3.5;0;196;5.3;17.3;1.3;6;vitamin e
MORNINGSTAR FARMS Buffalo Chik Patties;100;255;13;1;757;12.1;25.2;5.1;3;vitamin b12
SUBWAY;100;219;8.5;15;437;9.77;26.01;2.1;4.98;vitamin a
Sweet Potatoes;100;209;11;0;214;1.7;25.52;3.4;6.46;vitamin a
Macaroni or noodles with cheese;100;388;6.6;8;902;11.48;70.75;1.6;8.2;vitamin a
Vitasoy USA Organic Nasoya Sprouted;100;115;5.9;0;28;13.24;2.16;1.2;1.1;vitamin d
Cheese product;100;240;14;53;1587;17.6;10.6;0;8.02;vitamin a
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product;100;215;9.5;35;1705;16.3;16.2;0.2;8.2;vitamin a
MISSION FOODS;100;287;6;0;0;8.7;49.6;0;0;vitamin a
PILLSBURY GRANDS;100;293;11;0;1066;6.16;42.41;1.5;4.6;vitamin a
Sour dressing;100;178;17;5;48;3.25;4.68;0;4.68;vitamin a
WORTHINGTON Meatless Corned Beef Roll;100;245;15;1;758;18.6;9.9;0;2.1;vitamin b12
PREGO Pasta;100;85;2.7;0;408;1.54;13.85;2.3;9.23;vitamin a
Child formula;100;99;4.8;2;36;2.86;11.15;0;10.5;vitamin a
"LITTLE CAESARS 14"" Pepperoni Pizza";100;265;11;26;492;12.93;29.03;1.5;3.39;vitamin a
KASHI Italian Vegetable Medley Pasta;100;106;2.6;7;215;4.7;16.3;2.7;2.9;vitamin b6
Finger snacks;100;389;2.3;0;13;6.19;85.79;3.8;17.84;vitamin b6
CAMPBELL'S Homestyle Mexican Style Chicken Tortilla Soup;100;53;0.8;4;347;2.86;8.16;1.2;1.63;vitamin a
Agutuk;100;258;19;89;95;21.7;0.9;0;0;vitamin a
Turkey thigh;100;157;8.5;62;437;18.8;0;0;0;vitamin b12
CAMPBELL'S Homestyle Chicken with White & Wild Rice Soup;100;41;0.4;4;322;2.45;6.94;0.4;1.22;vitamin a
Wocas;100;34;0.4;0;10;0.69;7.06;2.3;0;vitamin e
Granola bar;100;536;31;12;193;9.6;54.1;3.8;23.63;vitamin a
Orange-grapefruit juice;100;43;0.1;0;3;0.6;10.28;0.1;10.18;vitamin a
LOMA LINDA Tender Rounds with Gravy;100;145;5.6;1;443;16.3;7.4;3.5;1;vitamin b12
MORNINGSTAR FARMS Grillers Original;100;213;9.3;3;422;23.9;8.5;4.4;1.2;vitamin b12
Pasta with Sliced Franks in Tomato Sauce;100;90;2.4;9;287;4.37;12.7;1.6;3.17;vitamin a
Cranberry;100;55;0.5;0;0;0.4;12.2;0;0;vitamin a
Nutritional supplement for people with diabetes;100;88;3.1;2;92;4.4;11.88;2.2;2.64;vitamin a
Imitation cheese;100;390;32;15;670;25;1;0;1;vitamin a
Juice;100;50;0.1;0;7;0.16;12.46;0.2;10.92;vitamin c
KASHI Mushroom & Asparagus Risotto;100;116;3.7;9;206;4.3;17;2.6;1.3;vitamin b6
MORNINGSTAR FARMS Breakfast Pattie;100;195;8.3;0;690;23.7;12.6;7.6;2.2;vitamin d
Yellow rice with seasoning;100;343;1.8;0;1316;7.02;74.68;1.8;1.75;vitamin a
CAMPBELL'S Homestyle Light Italian-Style Wedding Soup;100;33;0.6;4;322;2.45;4.49;0.4;0.82;vitamin a
"LITTLE CAESARS 14"" Original Round Pepperoni Pizza";100;273;11;28;518;13.59;31.01;1.7;3.76;vitamin a
DIGIORNO Pizza;100;247;9.9;21;506;12.96;26.47;3;0;vitamin a
Winged bean;100;37;0.7;0;240;5.31;3.21;0;0;vitamin a
MARTHA WHITE FOODS;100;407;6.2;0;457;4.42;83.58;2.9;54.76;vitamin a
Buffalo;100;146;1.8;82;41;32.51;0;0;0;vitamin b12
MORNINGSTAR FARMS Breakfast Sausage Patties;100;210;7.9;2;671;25.8;8.8;4.1;1.7;vitamin b12
MORNINGSTAR FARMS California Turk'y Burger;100;155;7.7;1;690;14.9;12.6;7.6;1.8;vitamin b6
GARDENBURGER Sun-Dried Tomato Basil Burger;100;137;3.6;4;387;5.5;23.7;5.2;2.6;vitamin a
Macaroni and cheese dinner with dry sauce mix;100;379;4.8;7;680;13.86;70.12;3.2;9.61;vitamin a
MORNINGSTAR FARMS Mushroom Lover's Burger;100;168;8.2;0;445;14.3;9.2;5.1;0.5;vitamin b6
CAMPBELL'S HEALTHY REQUEST;100;55;1.7;0;327;1.29;8.6;1;1.79;vitamin c
MORNINGSTAR FARMS Spicy Black Bean Burger;100;168;6.1;2;489;14.6;19.1;6;1.8;vitamin b6
MORNINGSTAR FARMS Breakfast Sausage Links;100;159;6.1;2;670;19.2;6.8;4;1;vitamin b6
CRUNCHMASTER;100;456;16;0;370;10.91;67.18;7.5;0.8;vitamin b6
"LITTLE CAESARS 14"" Original Round Cheese Pizza";100;265;9.5;24;454;13.39;31.5;1.7;4.02;vitamin a
HOT POCKETS;100;253;10;20;439;9.32;30.45;2.2;7.73;vitamin a
MARY'S GONE CRACKERS;100;446;16;0;587;12.06;64.29;16.2;1;vitamin a
Margarine-like spread with yogurt;100;630;70;0;590;0.3;0.5;0;0;vitamin a
MORNINGSTAR FARMS Breakfast Bacon Strips;100;346;27;2;1463;12.4;14.3;5.1;0.8;vitamin b12
GENERAL MILLS;100;413;8.1;0;0;3.8;81.3;0;43.9;vitamin a
MORNINGSTAR FARMS Mediterranean Chickpea;100;200;6.5;1;357;15.5;19.8;10.1;1.1;vitamin b6
Potsticker or wonton;100;136;5.5;17;441;8.28;13.28;1.4;2.76;vitamin a
GARDENBURGER Black Bean Chipotle Burger;100;133;3.9;0;545;6.5;22;6.1;3.6;vitamin b6
Pancakes plain;100;233;6.8;18;461;5.23;37.75;1;8.32;vitamin a
Fluid replacement;100;10;0;0;101;0;2.45;0;2.45;vitamin a
MORNINGSTAR FARMS Garden Veggie Nuggets;100;197;12;1;420;9.6;16.9;6.9;3.5;vitamin b6
MORNINGSTAR FARMS Parmesan Garlic Wings;100;227;8.6;1;616;14.2;24.1;3.1;1.3;vitamin b12
MORNINGSTAR FARMS Tuscan Greens & Beans;100;112;6.3;12;161;5.9;11.7;3.8;2.3;vitamin d
Corn with red and green peppers;100;75;0.6;0;347;2.33;18.17;0;0;vitamin a
Pineapple juice;100;179;0.1;0;3;1.3;44.3;0.7;43.6;vitamin a
CAMPBELL'S Red and White - Microwaveable Bowls;100;44;0;0;322;1.22;9.8;1.2;7.35;vitamin a
Turkey and pork sausage;100;307;23;84;878;22.7;0.7;0;0;vitamin d
MORNINGSTAR FARMS Garden Veggie Patties;100;176;5.5;2;525;17.8;13.7;4.5;1.8;vitamin a
